
 ┌───────────────────────────────────────────────────┐ 
 │                 ESTELAR.SU Store                  │ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 53  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 7324 │ 
 └───────────────────────────────────────────────────┘ 

2026-04-24 20:35:24 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:38:17 | 200 |       502.8µs | 127.0.0.1 | GET | /contacts | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 202 |      2.1251ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 202 |     35.6214ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:38:17 | 202 |      2.5057ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 202 |     53.6002ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:38:17 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:48:48 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 20:48:49 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:48:49 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:48:49 | 202 |      1.0181ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:48:49 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:48:49 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:01 | 202 |      1.8186ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:49:01 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:09 | 202 |      1.0343ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:49:09 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:49:13 | 202 |      1.0848ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
